pharmacy_name,pharmacist_in_charge,pharmacy_address,Town
A.M. Pharmacy Pte Ltd,SEOW LEE BOON MRS CABALLES,"150, ORCHARD ROAD, #04-06, ORCHARD PLAZA, SG(238841)",Orchard
Airport Pharmacy,Linson Valencia Nazareno,"10, AIRPORT BOULEVARD, #02-55-56, CHANGI AIRPORT TERMINAL 4, SG(819665)",Changi
Alchemy Pharmacy,Chang Pui Ye Jinny,"258, PASIR RIS STREET 21, #01-14, LOYANG POINT, SG(510258)",Pasir Ris
Alexandra Hospital Retail Pharmacy,Boon Choon Pei,"378, ALEXANDRA ROAD, #01-00, ALEXANDRA HOSPITAL, SG(159964)",Queenstown
Amber Compounding Pharmacy Pte Ltd,Wee Shir Li Jayne,"221, SOUTH BRIDGE ROAD, #01-00, SG(058770)",Outram
Bright Vision Hospital Pharmacy,Quek Chung Ling,"5, LORONG NAPIRI, #02-08, BRIGHT VISION HOSPITAL, SG(547530)",Hougang
CGH Pharmacy B,Lim Siew Luang,"2, SIMEI STREET 3, CHANGI GENERAL HOSPITAL, SG(529889)",Tampines
"Child Guidance Clinic, Health Promotion Board",Nani Harsono Ng Siu Hun,"3, SECOND HOSPITAL AVENUE, #03-01, HEALTH PROMOTION BOARD, SG(168937)",Hougang
Clinic B Pharmacy,SOH LAY BENG (MS),"10, BUANGKOK VIEW, #01-BLK 1, INSTITUTE OF MENTAL HEALTH, SG(539747)",Hougang
Community Wellness Clinic Queenstown Pharmacy,Yen Lee Chen,"580, STIRLING ROAD, #04-00, QUEENSTOWN POLYCLINIC, SG(148958)",Queenstown
Essentials Pharmacy,Teeranun Rodsiri,"101, UPPER CROSS STREET, #01-23, PEOPLE'S PARK CENTRE, SG(058357)",Outram
Farrer Park Pharmacy,Tan Chong Lip,"1, FARRER PARK STATION ROAD, #01-03, CONNEXION, SG(217562)",Rochor
GLENEAGLES HOSPITAL,Nur Shahida Binte Ahmad,"6A, NAPIER ROAD, #02-00, GLENEAGLES HOSPITAL, SG(258500)",Tanglin
GRACE HEALTHCARE,CHAN WENG TZEE STEVEN,"634, BUKIT BATOK CENTRAL, #01-110, SG(650634)",Bukit Batok
Guardian Pharmacy ( Waterway Point),Huang Peien Esther,"83, PUNGGOL CENTRAL, #B1-04, WATERWAY POINT, SG(828761)",Punggol
Guardian Pharmacy (313 @ Somerset),CHEONG HAN REN EDWIN,"313, ORCHARD ROAD, #B3-13-14, 313 @ SOMERSET, SG(238895)",Orchard
Guardian Pharmacy (Amara Hotel),Ong Lee Yen,"100, TRAS STREET, #02-09, 100 AM, SG(079027)",Downtown Core
Guardian Pharmacy (Ang Mo Kio 3),CHENG SHI THENG SARAH,"704, ANG MO KIO AVENUE 8, #01-2559C, SG(560704)",Ang Mo Kio
Guardian Pharmacy (Ang Mo Kio Hub),Liaw Liong Chyuan (Liao Liangquan),"53, ANG MO KIO AVENUE 3, #B2-01/02, AMK HUB, SG(569933)",Ang Mo Kio
Guardian Pharmacy (BISHAN BLK 512),ONG QI JUN,"512, BISHAN STREET 13, #01-524, SG(570512)",Bishan
Guardian Pharmacy (Bedok Central),Tan Ming Ming (Ms),"210, NEW UPPER CHANGI ROAD, #01-715, SG(460210)",Bedok
Guardian Pharmacy (Bedok Mall),TAN EE LIAN,"311, NEW UPPER CHANGI ROAD, #B2-45-47, BEDOK MALL, SG(467360)",Bedok
Guardian Pharmacy (Bishan Place),HO HUI MIN,"9, BISHAN PLACE, #B1-08, JUNCTION 8 SHOPPING CENTRE, SG(579837)",Bishan
Guardian Pharmacy (Bugis Junction 3),CELESTINE TAN SI YAN,"200, VICTORIA STREET, #B1-20/21, BUGIS JUNCTION, SG(188021)",Downtown Core
Guardian Pharmacy (Bugis MRT),IVY CHIEN YIK CHUN,"220, VICTORIA STREET, #B1-01, BUGIS MRT STATION, SG(188022)",Downtown Core
Guardian Pharmacy (Bukit Panjang Plaza),LEE WEN SIN,"1, JELEBU ROAD, #01-01/02/03, BUKIT PANJANG PLAZA, SG(677743)",Bukit Panjang
Guardian Pharmacy (Canberra Plaza),TEO YI LIANG,"133, CANBERRA VIEW, #01-17-18, SG(750133)",Sembawang
Guardian Pharmacy (Causeway Point),Wong Chee Peng,"1, WOODLANDS SQUARE, #B1-28-30, CAUSEWAY POINT, SG(738099)",Woodlands
Guardian Pharmacy (Changi T3 Basement 2 North),Ooi Xiew Hoi,"65, AIRPORT BOULEVARD, #B2-24, CHANGI AIRPORT TERMINAL 3, SG(819663)",Changi
Guardian Pharmacy (Chinatown Point 4),CHRISTINA LAU IK MEE,"133, NEW BRIDGE ROAD, #B1-34, CHINATOWN POINT, SG(059413)",Outram
Guardian Pharmacy (City Square Mall),Lim Chin Soon,"180, KITCHENER ROAD, #B1-18/19, CITY SQUARE MALL, SG(208539)",Kallang
Guardian Pharmacy (Clementi Mall),"ONG JIA MIN, JOY","3155, COMMONWEALTH AVENUE WEST, #03-59/60/61, THE CLEMENTI MALL, SG(129588)",Clementi
Guardian Pharmacy (Clifford Centre 2),Soo Yan Jer,"24, RAFFLES PLACE, #01-19/20/21, CLIFFORD CENTRE, SG(048621)",Downtown Core
Guardian Pharmacy (Compass One),Gay May Lian,"1, SENGKANG SQUARE, #B1-11, COMPASS ONE, SG(545078)",Sengkang
Guardian Pharmacy (Departure 3-South),Yeo Kah Cheng Michelle,"65, AIRPORT BOULEVARD, #02-29, CHANGI AIRPORT TERMINAL 3, SG(819663)",Changi
Guardian Pharmacy (Departure Transit West T1),RODNEY LAU BEEN LOONG,"80, AIRPORT BOULEVARD, #02-16, CHANGI AIRPORT TERMINAL 1, SG(819642)",Changi
Guardian Pharmacy (Funan),YE MIN TUN,"107, NORTH BRIDGE ROAD, #B2-16, SG(179105)",Downtown Core
Guardian Pharmacy (Gleneagles),Tan Yin Yin,"6, NAPIER ROAD, #02-06-08, GLENEAGLES MEDICAL CENTRE, SG(258499)",Tanglin
Guardian Pharmacy (Great World City),Yeyen Gunawan,"1, KIM SENG PROMENADE, #B1-122/123/124/125, GREAT WORLD CITY, SG(237994)",Singapore River
Guardian Pharmacy (H205),Toh Shi Yun Nelley,"205, HOUGANG STREET 21, #01-129, HEARTLAND MALL- KOVAN, SG(530205)",Hougang
Guardian Pharmacy (Harbourfront Centre),Ms Lam Cheng Yi,"1, MARITIME SQUARE, #02-111/112, HARBOURFRONT CENTRE, SG(099253)",Bukit Merah
Guardian Pharmacy (Holland Shopping Centre),TAN WEI XUN,"211, HOLLAND AVENUE, #01-10/11, HOLLAND ROAD SHOPPING CENTRE, SG(278967)",Bukit Timah
Guardian Pharmacy (Hougang Mall),"SIM HWEE YIN, VIVIANNE","90, HOUGANG AVENUE 10, #B1-31, HOUGANG MALL, SG(538766)",Hougang
Guardian Pharmacy (IMM2),FENG YANG,"2, JURONG EAST STREET 21, #01-56/57, IMM BUILDING, SG(609601)",Jurong East
Guardian Pharmacy (ION),Cai Ziqin,"2, ORCHARD TURN, #B4-02, ION ORCHARD, SG(238801)",Orchard
Guardian Pharmacy (International Building),SOPHIA HENRY GOENAWAN,"360, ORCHARD ROAD, #01-18, INTERNATIONAL BUILDING, SG(238869)",Orchard
Guardian Pharmacy (JEM),Siti Azza Binte Ali,"50, JURONG GATEWAY ROAD, #B1-16/17, JEM, SG(608549)",Jurong East
Guardian Pharmacy (Jelita),Lee Wai Fong,"293, HOLLAND ROAD, #02-10, COLD STORAGE JELITA, SG(278628)",Bukit Timah
Guardian Pharmacy (Jurong Point 2),SOH JIA SHING,"63, JURONG WEST CENTRAL 3, #B1-27/28, JURONG POINT, SG(648331)",Jurong West
Guardian Pharmacy (Jurong West Blk 503),Ng Siow Tian,"503, JURONG WEST AVENUE 1, #01-845, HONG KAH COURT, SG(640503)",Jurong West
Guardian Pharmacy (LOT 1),"LIM CHENG TENG, ERICA","21, CHOA CHU KANG AVENUE 4, #B1-26/27, LOT ONE, SHOPPERS' MALL, SG(689812)",Choa Chu Kang
Guardian Pharmacy (Lavender MRT Station),Yip Kok Foo,"50, KALLANG ROAD, #B1-01, LAVENDER MRT STATION, SG(208699)",Kallang
Guardian Pharmacy (Le Quest),JESSICA TEO JIA LEI,"4, BUKIT BATOK STREET 41, #01-58/59/60, LE QUEST, SG(657991)",Bukit Batok
Guardian Pharmacy (Marina Bay Sands),Foo Lee Sun,"2, BAYFRONT AVENUE, #B2-49, MARINA BAY SANDS, SG(018972)",Downtown Core
Guardian Pharmacy (Mount Elizabeth),Mohamed Imran Bin Sahabdeen,"3, MOUNT ELIZABETH, #02-10/11, MOUNT ELIZABETH HOSPITAL, SG(228510)",Orchard
Guardian Pharmacy (Northpoint),Chua Fang,"930, YISHUN AVENUE 2, #B1-02/03, SG(769098)",Yishun
Guardian Pharmacy (Novena Hospital),Ong Kheng Soon Alvin,"38, IRRAWADDY ROAD, #01-08/09/10/11, SG(329563)",Novena
Guardian Pharmacy (Novena Square),Knaggs John,"238, THOMSON ROAD, #01-31, NOVENA SQUARE, SG(307683)",Novena
Guardian Pharmacy (Oasis Terrace),Hoe Chooi Fong,"681, PUNGGOL DRIVE, #01-22/23/24/25, SG(820681)",Punggol
Guardian Pharmacy (Our Tampines Hub),PHEY XIANG YUN,"1, TAMPINES WALK, #B1-29, OUR TAMPINES HUB, SG(528523)",Tampines
Guardian Pharmacy (Paragon),Tan Wee Jin,"290, ORCHARD ROAD, #B1-20/24, THE PARAGON, SG(238859)",Orchard
Guardian Pharmacy (Parkway Parade),Cheng Joo Jian Milton,"80, MARINE PARADE ROAD, #B1-147-149/155A, PARKWAY PARADE, SG(449269)",Marine Parade
Guardian Pharmacy (Paya Lebar Quarter),LIAW WAN TING,"10, PAYA LEBAR ROAD, #B2-01 & 35, PLQ MALL, SG(409057)",Geylang
Guardian Pharmacy (Plaza Singapura),FELICIA CHIA SI YA,"68, ORCHARD ROAD, #B2-13-14, PLAZA SINGAPURA, SG(238839)",Museum
Guardian Pharmacy (Raffles City),Rosales Roman Lester Esplana,"252, NORTH BRIDGE ROAD, #B1-01, RAFFLES CITY SHOPPING CENTRE, SG(179103)",Downtown Core
Guardian Pharmacy (Raffles Place MRT 3),Valentino Cosic,"5, RAFFLES PLACE, #B1-37-40/43-45, RAFFLES PLACE MRT STATION, SG(048618)",Downtown Core
Guardian Pharmacy (Seletar Mall),ANG XIU HUI,"33, SENGKANG WEST AVENUE, #B1-10/11, THE SELETAR MALL, SG(797653)",Sengkang
Guardian Pharmacy (Serangoon Garden),Lin Fangyun,"66, SERANGOON GARDEN WAY, #00-00, SERANGOON GARDEN ESTATE, SG(555962)",Serangoon
Guardian Pharmacy (Serangoon NEX),Yap Wai Leng,"23, SERANGOON CENTRAL, #B1-62/63, NEX, SG(556083)",Serangoon
Guardian Pharmacy (Star Vista),Ms Uma Mageswari Sellvaraj,"1, VISTA EXCHANGE GREEN, #B1-16, THE STAR, SG(138617)",Queenstown
Guardian Pharmacy (Sun Plaza 2),Ms Lim Xin Hui,"30, SEMBAWANG DRIVE, #B1-11, SUN PLAZA, SG(757713)",Sembawang
Guardian Pharmacy (Suntec City),Mr Soh Deren,"3, TEMASEK BOULEVARD, #02-328/329, SUNTEC CITY MALL, SG(038983)",Downtown Core
Guardian Pharmacy (Suntec City-Giant),MARIE CHEN LI WEN,"3, TEMASEK BOULEVARD, #B1-152-159, SUNTEC CITY MALL, SG(038983)",Downtown Core
Guardian Pharmacy (Tai Seng Street),LIM YANG CHIN,"18, TAI SENG STREET, #01-19-21, 18 TAI SENG, SG(539775)",Hougang
Guardian Pharmacy (Takashimaya S. C. ),Chang Yung Yung,"391, ORCHARD ROAD, #B2-15-23, NGEE ANN CITY, SG(238872)",Orchard
Guardian Pharmacy (Tampines MRT),VALERIAN NEO ZHEN NING,"20, TAMPINES CENTRAL 1, #01-01, TAMPINES MRT STATION, SG(529538)",Tampines
Guardian Pharmacy (Tampines Mall),"LEE RONG EN, SHAWN","4, TAMPINES CENTRAL 5, #B1-18/19, TAMPINES MALL, SG(529510)",Tampines
Guardian Pharmacy (The Centrepoint),Hon Jan Yee,"176, ORCHARD ROAD, #B1-01/02/03/04, THE CENTREPOINT, SG(238843)",Orchard
Guardian Pharmacy (The Poiz Centre),NUH SYAHIRAN B MASLI,"51, UPPER SERANGOON ROAD, #01-23/24, THE POIZ CENTRE, SG(347697)",Toa Payoh
Guardian Pharmacy (Thomson),LEE CHIAWLI,"301, UPPER THOMSON ROAD, #03-28, THOMSON PLAZA, SG(574408)",Bishan
Guardian Pharmacy (Tiong Bahru MRT),CHARMAINE NEO,"300, TIONG BAHRU ROAD, #B1-01, TIONG BAHRU MRT STATION, SG(168731)",Bukit Merah
Guardian Pharmacy (Tiong Bahru Plaza),DAPHNE WONG YIING PING,"302, TIONG BAHRU ROAD, #B1-125, TIONG BAHRU PLAZA, SG(168732)",Bukit Merah
Guardian Pharmacy (Toa Payoh Blk 190),WANG HUI,"190, LORONG 6 TOA PAYOH, #01-578, SG(310190)",Toa Payoh
Guardian Pharmacy (United Square 2),CYNTHIA HO GUEK KEOW,"101, THOMSON ROAD, #B1-28, UNITED SQUARE, SG(307591)",Novena
Guardian Pharmacy (Vivo),WU WEIJIE,"1, HARBOURFRONT WALK, #02-79, VIVO CITY, SG(098585)",Bukit Merah
Guardian Pharmacy (WRS),LIM JIA YEN JAIME,"21, TAMPINES NORTH DRIVE 2, #01-01, GIANT, SG(528765)",Tampines
Guardian Pharmacy (West Mall),Quan Silver,"1, BUKIT BATOK CENTRAL LINK, #01-27, WEST MALL, SG(658713)",Bukit Batok
Guardian Pharmacy (Westgate),LEE WAN YU,"3, GATEWAY DRIVE, #B1-20, WESTGATE, SG(608532)",Jurong East
Guardian Pharmacy (White Sands Mall),Ling Looi Sze,"1, PASIR RIS CENTRAL STREET 3, #01-12, SG(518457)",Pasir Ris
Guardian Pharmacy (Yew Tee MRT),GAN TING RUI GLADYS,"61, CHOA CHU KANG DRIVE, #01-02A, YEW TEE MRT STATION, SG(689715)",Choa Chu Kang
Guardian Pharmacy (Zhongshan Park),MEGAN TAN KHAI KHEE,"20, AH HOOD ROAD, #01-20/21, ZHONGSHAN MALL, SG(329984)",Novena
Haematology Pharmacy (Block 7),NG HONG YEN,"1, HOSPITAL DRIVE, #02-00, SINGAPORE GENERAL HOSPITAL, SG(169608)",Bukit Merah
Healing Hub @ Ang Mo Kio - Thye Hua Kwan Hospital,Tan Yongqiang (Chen Yongqiang),"17, ANG MO KIO AVENUE 9, #01-00, ANG MO KIO COMMUNITY HOSPITAL, SG(569766)",Ang Mo Kio
Jurong Community Hospital Pharmacy,Quek Hui Chen,"1, JURONG EAST STREET 21, #01, SG(609606)",Jurong East
Jurong Medical Centre Pharmacy,Fung Kar Yen,"60, JURONG WEST CENTRAL 3, #01-08, SG(648346)",Jurong West
KK Emergency Pharmacy,Go Hui Jia (Wu Huijia),"100, BUKIT TIMAH ROAD, #B1-0V92A, KK WOMEN'S AND CHILDREN'S HOSPITAL, SG(229899)",Kallang
KK Outpatient Pharmacy,Ng Ai Shing,"100, BUKIT TIMAH ROAD, #01-1R20A, KK WOMEN'S AND CHILDREN'S HOSPITAL, SG(229899)",Kallang
Khoo Teck Puat Hospital Pharmacy,Supadhara Ramaiyah,"90, YISHUN CENTRAL, #LVL 1-TOWER C, KHOO TECK PUAT HOSPITAL, SG(768828)",Yishun
MEDI-LINK PHARMACY,CHEONG PENG YIANG,"803, KING GEORGE'S AVENUE, #02-182, SG(200803)",Kallang